lat;lon;name
56.2381705;43.8665429;Совкомбанк
56.3225840;44.0057980;Уральский банк реконструкции и развития
56.3142281;43.9901483;Сбербанк
56.2436898;43.8630116;Ак Барс Банк
56.3079290;43.9898090;Ак Барс Банк
56.3241860;44.0170900;Транскапиталбанк
56.2333040;43.9485390;Ак Барс Банк
56.2607093;43.8761544;Совкомбанк
56.3157334;43.9921948;Совкомбанк
56.3190536;43.9244583;Совкомбанк
56.3179886;43.9431265;Совкомбанк
56.3108077;43.9977229;Совкомбанк
56.2913395;43.9841080;Совкомбанк
56.2588188;43.8533208;Совкомбанк
56.3488389;43.8654551;Совкомбанк
56.2346985;43.9508231;Совкомбанк
56.3182860;44.0224100;Совкомбанк
56.3242564;43.9445561;Совкомбанк
56.2491326;43.8607638;Русский Стандарт
56.2279946;43.9452188;Сбербанк
56.2513814;43.8664370;Россельхозбанк
56.3209837;43.9291052;НБД-Банк
56.3166935;43.9965825;Норвик банк
56.2882776;43.9295397;МТС Банк
56.3286770;44.0093240;Цифра
56.3182459;44.0000430;Трансстройбанк
56.3147419;43.9970443;МТС Банк
56.3498870;43.8668814;Сбербанк
56.2476926;43.8745035;Промсвязьбанк
56.3182170;44.0219214;Совкомбанк
56.3282700;44.0167550;МеталлИнвестБанк
56.2373123;43.8694832;Промсвязьбанк
56.2331459;43.9483472;Промсвязьбанк
56.3175633;44.0229893;Промсвязьбанк
56.3481258;43.8681005;ВТБ
56.3385431;43.9342009;ВТБ
56.3270228;43.9836723;ВТБ
56.3227359;44.0132288;ВТБ
56.2404067;43.8656019;ВТБ
56.3101030;43.9964100;ВТБ
56.3181148;44.0162251;Газпром банк
56.3167867;43.9894442;СаровБизнесБанк
56.3531340;43.8663650;Промсвязьбанк
56.2347068;43.8313133;Сбербанк
56.3285013;44.0126701;Золотой монетный двор
56.3280978;44.0214631;Цифра брокер
56.3280725;44.0215168;Цифра
56.2567288;43.8669646;Сбербанк
56.3103547;44.0740397;ВТБ
56.3153639;44.0131764;ВТБ
56.2345913;43.9507682;ВТБ
56.3118319;43.9960842;Российский капитал
56.3217601;44.0114648;Уралсиб
56.2520915;43.8681261;Сбербанк
56.2401458;43.8687849;Уралсиб
